user_id,content_id,watch_date,completion_percentage,rating,watched_on_device
USR_001,AMZ_8456,2023-11-04,13,,Mobile
USR_001,AMZ_5335,2023-12-02,30,2.6,Laptop
USR_001,NFX_8271,2024-04-19,45,3.5,Laptop
USR_001,DSN_296,2024-06-24,72,3.2,Smart TV
USR_001,DSN_799,2024-05-01,37,1.8,TV
USR_001,AMZ_3255,2024-10-20,95,3.5,Mobile
USR_001,AMZ_6224,2023-12-25,38,2.1,TV
USR_001,AMZ_3640,2024-03-05,75,2.9,Mobile
USR_001,AMZ_1443,2024-02-17,37,1.3,Tablet
USR_001,AMZ_7914,2024-08-07,47,3.6,Tablet
USR_001,AMZ_2157,2024-02-05,34,2.4,Mobile
USR_001,AMZ_5550,2024-01-19,92,4.0,Tablet
USR_001,NFX_2829,2024-11-06,51,3.3,Tablet
USR_001,AMZ_1307,2024-10-01,28,1.2,TV
USR_001,AMZ_196,2024-01-02,94,4.4,Laptop
USR_001,DSN_652,2023-09-25,90,3.3,TV
USR_001,DSN_789,2024-11-01,48,3.1,Mobile
USR_001,AMZ_1201,2024-08-19,51,2.5,Smart TV
USR_001,AMZ_5136,2024-09-14,61,2.5,Laptop
USR_001,NFX_6981,2024-09-25,73,2.8,Laptop
USR_001,NFX_5332,2024-03-26,44,2.7,Mobile
USR_001,DSN_1417,2024-07-31,91,4.2,TV
USR_001,NFX_2989,2024-08-06,53,3.1,Laptop
USR_001,NFX_8078,2023-11-07,30,1.4,Smart TV
USR_001,AMZ_5605,2024-03-29,43,3.1,TV
USR_001,NFX_2902,2024-01-21,54,3.3,TV
USR_001,NFX_5144,2023-11-03,82,4.4,Smart TV
USR_001,AMZ_2450,2024-05-09,11,,Tablet
USR_001,NFX_7148,2024-08-08,37,1.7,Smart TV
USR_001,AMZ_8214,2023-11-29,41,2.7,Tablet
USR_001,AMZ_7451,2024-06-14,59,3.4,Mobile
USR_001,NFX_5123,2024-02-02,55,3.4,Tablet
USR_001,AMZ_7502,2023-10-11,25,1.2,TV
USR_001,AMZ_4123,2024-07-13,69,3.1,TV
USR_002,NFX_442,2024-05-08,68,2.8,Mobile
USR_002,AMZ_1191,2023-06-11,58,3.4,Mobile
USR_002,AMZ_8977,2024-04-07,12,,Tablet
USR_002,NFX_7375,2024-05-27,29,1.9,Tablet
USR_002,AMZ_4626,2024-05-21,98,4.9,TV
USR_002,AMZ_9260,2024-10-26,87,5.0,TV
USR_002,AMZ_1523,2024-01-18,69,3.6,Mobile
USR_002,AMZ_3970,2023-08-18,38,1.2,Tablet
USR_002,AMZ_7378,2024-08-22,91,4.9,TV
USR_002,AMZ_1584,2024-09-24,10,,TV
USR_002,NFX_7674,2023-08-27,41,2.8,Mobile
USR_002,AMZ_5416,2023-08-06,53,3.7,Mobile
USR_002,AMZ_4019,2023-09-02,60,3.6,Mobile
USR_002,DSN_191,2024-04-12,62,4.0,Tablet
USR_002,NFX_5692,2023-08-10,49,3.5,Laptop
USR_002,AMZ_1624,2023-12-23,94,4.0,TV
USR_002,AMZ_9187,2024-04-27,73,3.4,Laptop
USR_002,AMZ_3732,2023-08-19,49,3.7,Tablet
USR_002,NFX_855,2024-07-15,32,2.1,Tablet
USR_002,AMZ_3849,2024-07-13,16,1.3,TV
USR_002,AMZ_5384,2024-10-10,63,3.7,Laptop
USR_002,AMZ_9461,2024-07-27,70,4.0,Laptop
USR_002,AMZ_6139,2024-05-09,73,3.4,TV
USR_002,NFX_100,2024-03-20,39,2.3,Smart TV
USR_002,AMZ_3245,2024-10-10,96,4.6,Laptop
USR_002,NFX_1245,2024-02-07,25,1.0,Tablet
USR_002,AMZ_1306,2023-07-10,34,1.6,Laptop
USR_003,DSN_311,2024-11-04,64,3.7,Laptop
USR_003,AMZ_3989,2023-09-05,40,4.1,Tablet
USR_003,DSN_856,2023-10-21,29,1.7,TV
USR_003,DSN_1030,2024-01-08,15,2.5,Tablet
USR_003,DSN_163,2024-09-17,43,3.7,Laptop
USR_003,AMZ_9594,2024-06-13,16,1.3,Mobile
USR_003,DSN_1238,2024-05-14,66,2.9,Tablet
USR_003,DSN_510,2024-07-17,67,2.4,Smart TV
USR_003,DSN_858,2024-05-28,100,4.3,TV
USR_003,AMZ_698,2024-06-22,15,1.9,TV
USR_003,DSN_115,2024-06-27,46,2.9,Tablet
USR_003,AMZ_2291,2023-10-19,85,4.3,TV
USR_003,DSN_167,2023-12-03,94,4.8,Smart TV
USR_003,DSN_177,2024-05-24,60,4.1,Smart TV
USR_003,DSN_447,2024-03-05,25,2.5,Tablet
USR_003,DSN_1130,2023-10-31,68,2.6,Tablet
USR_003,DSN_355,2023-09-26,96,4.1,TV
USR_003,DSN_747,2023-09-14,88,4.3,Laptop
