user_id,rank,title,type,source,score,content_id
USR_001,1,The Kicks,TV Show,AMAZON,0.4836611302927807,AMZ_589
USR_001,2,Avatar: The Last Airbender,TV Show,AMAZON,0.4836611302927807,AMZ_3190
USR_001,3,Vir the robot boy,TV Show,AMAZON,0.4836611302927807,AMZ_9046
USR_002,1,Shapes and Songs by Little Baby Bum,Movie,AMAZON,0.4526678681148417,AMZ_3996
USR_002,2,Number Zoo Adventures with Toddler Fun Learning,Movie,AMAZON,0.4526678681148417,AMZ_5739
USR_002,3,V.R. Troopers,TV Show,NETFLIX,0.41009883338335423,NFX_8669
USR_003,1,Howie Mandel's Animals Doing Things,TV Show,DISNEY,0.6452787491742912,DSN_510
USR_003,2,Incredible! The Story of Dr. Pol,Movie,DISNEY,0.585156840928336,DSN_692
USR_003,3,Benji the Hunted,Movie,DISNEY,0.5415572568124777,DSN_747
USR_004,1,Tim Allen: ReWires America,Movie,NETFLIX,0.49638115406848027,NFX_4245
USR_004,2,Bill Nye Saves the World,TV Show,NETFLIX,0.47044685072601,NFX_4865
USR_004,3,Wyatt Cenac: Brooklyn,Movie,NETFLIX,0.47044685072601,NFX_5927
USR_005,1,Scare Attraction,Movie,AMAZON,0.22397750404397274,AMZ_5171
USR_005,2,La fille aux deux visages,Movie,AMAZON,0.21349262222075865,AMZ_5810
USR_005,3,Crypto Legacy (2021),Movie,AMAZON,0.20943107065468614,AMZ_5961
USR_006,1,The Dead Center,Movie,AMAZON,13.313987508610545,AMZ_692
USR_006,2,Hatchet II: Rated R Version,Movie,AMAZON,13.313987508610545,AMZ_2246
USR_006,3,Incarnate,Movie,NETFLIX,13.313987508610545,NFX_1536
USR_007,1,Brad Williams: Daddy Issues,Movie,AMAZON,1.592114052789553,AMZ_2983
USR_007,2,Les Misérables,Movie,NETFLIX,1.560005487708971,NFX_2120
USR_007,3,Justin Bieber: Never Say Never,Movie,NETFLIX,1.4715304650265555,NFX_7154
USR_008,1,Benji,Movie,AMAZON,0.4958010374180052,AMZ_3099
USR_008,2,Go to School and Learn with Blippi,Movie,AMAZON,0.4367166000474703,AMZ_6234
USR_008,3,Heidi,TV Show,NETFLIX,0.4367166000474703,NFX_2070
USR_009,1,The Yeti Adventures,Movie,NETFLIX,0.5196949886329558,NFX_954
USR_009,2,Dolly Parton’s Christmas on the Square,Movie,NETFLIX,0.5020123871556209,NFX_1663
USR_009,3,Legend of the Guardians: The Owls of Ga'Hoole,Movie,NETFLIX,0.4974990340592499,NFX_7282
USR_010,1,Love and Redemption,TV Show,AMAZON,0.48215453758846866,AMZ_1803
USR_010,2,Magic Max,Movie,AMAZON,0.48215453758846866,AMZ_4634
USR_010,3,Blue Ruin,Movie,NETFLIX,0.48215453758846866,NFX_6342
USR_011,1,The Terror Routes,TV Show,AMAZON,1.00326737659903,AMZ_423
USR_011,2,American Experience: The Swamp,Movie,AMAZON,0.9585067695014065,AMZ_3282
USR_011,3,Found,Movie,AMAZON,0.9585067695014065,AMZ_5507
USR_012,1,Violets Are Blue,Movie,AMAZON,1.9480044963833685,AMZ_182
USR_012,2,Classmates,Movie,AMAZON,1.8365243743437356,AMZ_5085
USR_012,3,Luckunnodu,Movie,AMAZON,1.779571535658892,AMZ_5350
USR_013,1,The Over-The-Hill Gang Rides Again,Movie,AMAZON,0.7997488560299602,AMZ_498
USR_013,2,RED GARTERS,Movie,AMAZON,0.751332218647267,AMZ_1194
USR_013,3,Ephraim's Rescue,Movie,AMAZON,0.7459229629045582,AMZ_2546
USR_014,1,The Wild Life of Dr. Ole,TV Show,DISNEY,0.28346581709763663,DSN_59
USR_014,2,Shark Beach with Chris Hemsworth,Movie,DISNEY,0.26598022359172696,DSN_176
USR_014,3,Incredible! The Story of Dr. Pol,Movie,DISNEY,0.2650938946277741,DSN_692
USR_015,1,That's So Raven,TV Show,DISNEY,0.4722143211030825,DSN_624
USR_015,2,Cow Belles,Movie,DISNEY,0.3616662834207914,DSN_801
USR_015,3,Frenemies,Movie,DISNEY,0.3616662834207914,DSN_902
USR_016,1,Z: The Beginning of Everything,TV Show,AMAZON,0.6501736076618011,AMZ_27
USR_016,2,Ghosts On The Loose,Movie,AMAZON,0.5196044176730468,AMZ_2351
USR_016,3,Three Roses,Movie,AMAZON,0.5196044176730464,AMZ_7655
USR_017,1,Dexter,TV Show,AMAZON,0.3384453700223525,AMZ_2675
USR_017,2,Accident,Movie,AMAZON,0.3384453700223525,AMZ_5669
USR_017,3,Irrefutable Proof,Movie,AMAZON,0.3384453700223525,AMZ_6156
USR_018,1,Pinkfong! Dinosaur Musical Stories,TV Show,AMAZON,11.920610472399078,AMZ_1313
USR_018,2,The Stanley Dynamic,TV Show,AMAZON,11.920610472399078,AMZ_6071
USR_018,3,Marvel's Guardians of the Galaxy (Series),TV Show,DISNEY,11.920610472399078,DSN_1058
USR_019,1,Jaws: The Revenge,Movie,NETFLIX,0.579065379737579,NFX_44
USR_019,2,A Choo,Movie,NETFLIX,0.4967262113802557,NFX_1855
USR_019,3,Arctic Heart,Movie,NETFLIX,0.4847029066148971,NFX_5531
USR_020,1,VocabuLarry,Movie,AMAZON,0.9371024151010963,AMZ_177
USR_020,2,Marley & Me,Movie,AMAZON,0.9371024151010963,AMZ_9641
USR_020,3,Equestria Girls: Tales of Canterlot High,TV Show,NETFLIX,0.8600977732420305,NFX_5237
USR_021,1,All Day and a Night,Movie,NETFLIX,2.360333109340269,NFX_2576
USR_021,2,Last Ferry,Movie,NETFLIX,2.360333109340269,NFX_7269
USR_021,3,Paathi,Movie,NETFLIX,2.358413180814329,NFX_7691
USR_022,1,Les Misérables,Movie,NETFLIX,0.5703347478782206,NFX_2120
USR_022,2,The Dirt,Movie,NETFLIX,0.46024911495999377,NFX_3985
USR_022,3,Naughty Jatts,Movie,NETFLIX,0.4560976760840486,NFX_4594
USR_023,1,Memories of Reality,Movie,AMAZON,1.8798613799947546,AMZ_7796
USR_023,2,Star Kid,Movie,AMAZON,1.8123779508143216,AMZ_8188
USR_023,3,Can of Worms,Movie,DISNEY,1.806136966146049,DSN_773
USR_024,1,Feels Like Ishq,TV Show,NETFLIX,0.2341361730011703,NFX_397
USR_024,2,"To Each, Her Own",Movie,NETFLIX,0.232374171601095,NFX_4817
USR_024,3,Dumb and Dumberer: When Harry Met Lloyd,Movie,NETFLIX,0.232374171601095,NFX_6655
USR_025,1,The Lair of the White Worm,Movie,AMAZON,0.30797415247945503,AMZ_6989
USR_025,2,Marianne,TV Show,NETFLIX,0.2832374675995144,NFX_3521
USR_025,3,Encounters with Evil,TV Show,NETFLIX,0.28208220239819476,NFX_6695
USR_026,1,Cells at Work!,TV Show,NETFLIX,0.46247462154505703,NFX_3055
USR_026,2,Record of Grancrest War,TV Show,NETFLIX,0.462261904118239,NFX_3696
USR_026,3,Neon Genesis Evangelion,TV Show,NETFLIX,0.45227389725393485,NFX_3724
USR_027,1,The Conjuring,Movie,NETFLIX,0.747140530977361,NFX_1283
USR_027,2,My Birthday Song,Movie,NETFLIX,0.736544159654048,NFX_4796
USR_027,3,Blackway,Movie,NETFLIX,0.736544159654048,NFX_6330
USR_028,1,Devil's Diary,Movie,AMAZON,0.827935624687048,AMZ_2677
USR_028,2,Anthem of a Teenage Prophet,Movie,AMAZON,0.827935624687048,AMZ_3235
USR_028,3,Beautiful,Movie,AMAZON,0.827935624687048,AMZ_4884
USR_029,1,The Prince Family,TV Show,AMAZON,0.6883836003475731,AMZ_479
USR_029,2,Soothing Waterfalls with Music,Movie,AMAZON,0.6883836003475731,AMZ_932
USR_029,3,Picker Sisters,TV Show,AMAZON,0.6883836003475731,AMZ_1334
USR_030,1,A Bride for Christmas,Movie,AMAZON,19.55772048946649,AMZ_3936
USR_030,2,The King Maker,Movie,AMAZON,19.55772048946649,AMZ_8078
USR_030,3,It Takes a Lunatic,Movie,NETFLIX,19.55772048946649,NFX_3374
USR_031,1,When the Moon was Full,Movie,AMAZON,0.2609792267583653,AMZ_4182
USR_031,2,The Twilight Saga: Breaking Dawn: Part 1,Movie,NETFLIX,0.24708879119927485,NFX_447
USR_031,3,Bombshell,Movie,NETFLIX,0.2439464768774449,NFX_5764
USR_032,1,WordWorld,TV Show,AMAZON,1.8988886023818308,AMZ_72
USR_032,2,Evan Almighty,Movie,AMAZON,1.8306316898111377,AMZ_8777
USR_032,3,Heidi,TV Show,NETFLIX,1.8018919439947876,NFX_2070
USR_033,1,Curse of the Black Widow,Movie,AMAZON,2.1447108236527566,AMZ_7549
USR_033,2,Chehre,Movie,AMAZON,2.0313667314437063,AMZ_9225
